"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","16.0748014092243","","","","2.39140052371671","","4.596380350474","9.1013549642203","6.76788413382363","4.47802966694654","11.0941001575362","8.77366146827225","6.5004712841681","8.56091088091773","6.3435005550563","8.35814658099566","4.14014386999948","6.16877775949992","10.2193063134874","4.06578439145372","","","","","","","","",
"Africa Eastern and Southern","AFE","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.5116435071343","12.1900298641986","12.282874986228","12.1562602671559","","","","",
"Africa Western and Central","AFW","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.94382089730927","10.5198899559397","6.04304095489716","14.1649776096084","14.9348787260304","71.3847216952175","35.6649918228825","29.3300624347218","7.479756324752","11.5806721780429","11.4305494025762","9.44892562457398","7.36226242324266","8.81713201898401","4.81274092948733","5.45583869038317","5.01809906270047","5.32040792522508","7.40181289587705","8.52881691209369","9.03217488221113","7.1817773448762","8.43280180185473","3.3200026006687","4.29165536069287","3.11812604782027","3.53869563678828","3.61441051571035","3.62680965596223","3.78693577286801","",
"Andorra","AND","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","2.80327983740977","0","0","0","0","","","","","5.04852898486703","","",
"Arab World","ARB","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.794390978522421","0.581666780853156","0.83327447052545","0.616834115435605","0.708026488355192","0.79182924598225","","","","0.667306763867915","0.787599964388127","0.522110055578615","",
"Argentina","ARG","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.4473568415163","","8.75465251424425","9.04172250089496","8.55400329611251","9.16715191502319","7.96347331015152","",
"Armenia","ARM","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.02773728008839","8.92626320421655","","12.9094308510902","8.22370823033868","6.12727199878028","5.80478014076273","5.04737742403248","5.04749365888256","4.66262230493955","4.35394331474142","4.71385189260372","3.38289144417911","4.49998615958204","4.24808983943961","3.30024776434546","3.75642623530608","4.58127012134997","5.10558288850579","5.25145153402558","3.38466621120832","3.85879196065219","3.43826777079909","3.31028173506912","3.93596934788179","4.1123118046195","5.28992021037016","4.55590188131721","3.03503244566416","4.94207767298743","2.84469843035862","3.74055360989289","",
"American Samoa","ASM","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","24.2910062549341","49.7223833595757","0","","","",
"Antigua and Barbuda","ATG","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3.25547326442582","3.2080071859361","12.649421288976","12.4616415097279","15.3284895306416","6.02936299779928","2.96428042092782","","","","17.3652295388756","10.3302939312967","","","","","","27.9418301898774","","","","","","","9.3342356427788","16.2125230159925","41.4169188113344","20.5876634145784","4.54948704533564","18.0850222106679","24.7129922940397","",
"Australia","AUS","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.77597989296598","2.28849526383127","2.11517531958259","2.44337844319603","2.3140114207052","2.41396959062161","2.66237081444297","2.64818032815597","2.46320347647411","2.8010464537257","2.39417762594878","2.41829528873746","2.53353267241852","2.10344656768752","1.72352314891653","1.64382985827214","1.85055930190548","1.63863859428293","1.51368491787526","1.73286629507112","1.2498534615239","1.41990500116603","1.41457346631503","1.31345550354165","1.27726242715264","1.2764420572442","1.22422042663416","1.18044818748534","1.08957558246592","1.24017016088584","1.17755943819581","1.09576279020374","",
